,route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
337,RUT:Line:440,RUT:Authority:RUT,440,Fenstad/Nordkisa - Oslo lufthavn,,704,,76a300,ffffff
338,RUT:Line:461,RUT:Authority:RUT,461,Bestilling Fenstad øst/ vest (462),,704,,76a300,ffffff
339,RUT:Line:460,RUT:Authority:RUT,460,Herbergåsen - Kløfta,,704,,76a300,ffffff
340,RUT:Line:45,RUT:Authority:RUT,45,Majorstuen - Voksen skog,,704,,e60000,ffffff
341,RUT:Line:455,RUT:Authority:RUT,455,Årnes -Rånåsfoss,,704,,76a300,ffffff
342,RUT:Line:453,RUT:Authority:RUT,453,Rånåsfoss - Årnes,,704,,76a300,ffffff
343,RUT:Line:452,RUT:Authority:RUT,452,Auli - Årnes - Østgård - Årnes,,704,,76a300,ffffff
344,RUT:Line:451,RUT:Authority:RUT,451,Dysterud - Årnes,,704,,76a300,ffffff
345,RUT:Line:450,RUT:Authority:RUT,450,Årnes - Oslo lufthavn,,704,,76a300,ffffff
346,RUT:Line:510,RUT:Authority:RUT,510,Bøleråsen - Ski - Ås - Drøbak,,704,,76a300,ffffff
347,RUT:Line:471,RUT:Authority:RUT,471,Skotterud/Rømskog - Sørumsand,,704,,76a300,ffffff
348,RUT:Line:470,RUT:Authority:RUT,470,(Rømskog) - Bjørkelangen - Lillestrøm,,704,,76a300,ffffff
349,RUT:Line:535,RUT:Authority:RUT,535,Garder - Kroer - Ås stasjon,,704,,76a300,ffffff
350,RUT:Line:520,RUT:Authority:RUT,520,Vinterbro - Ski - Enebakk,,704,,76a300,ffffff
351,RUT:Line:46,RUT:Authority:RUT,46,Majorstuen - Ullerntoppen,,704,,e60000,ffffff
352,RUT:Line:465,RUT:Authority:RUT,465,Bestilling Skogbygda-Greni/Opaker-Seterstøa (466),,704,,76a300,ffffff
353,RUT:Line:463,RUT:Authority:RUT,463,Bestilling Udnes & Haga (464),,704,,76a300,ffffff
354,RUT:Line:51,RUT:Authority:RUT,51,Maridalen - Nydalen,,704,,e60000,ffffff
355,RUT:Line:478,RUT:Authority:RUT,478,Aurskog/Høland øst,,704,,76a300,ffffff
356,RUT:Line:536,RUT:Authority:RUT,536,Dyster/Eldor - Ås stasjon,,704,,76a300,ffffff
357,RUT:Line:533,RUT:Authority:RUT,533,Randem - Vestby stasjon,,704,,76a300,ffffff
358,RUT:Line:477,RUT:Authority:RUT,477,Aurskog/Høland nord,,704,,76a300,ffffff
359,RUT:Line:526,RUT:Authority:RUT,526,Ellingsrudlia - Ski stasjon,,704,,76a300,ffffff
360,RUT:Line:521,RUT:Authority:RUT,521,TusenFryd - Ski stasjon,,704,,76a300,ffffff
361,RUT:Line:517,RUT:Authority:RUT,517,Siggerud - Ski stasjon,,704,,76a300,ffffff
362,RUT:Line:480,RUT:Authority:RUT,480,Bjørkelangen - Løken - Lillestrøm,,704,,76a300,ffffff
363,RUT:Line:532,RUT:Authority:RUT,532,Garder - Vestby stasjon,,704,,76a300,ffffff
364,RUT:Line:525,RUT:Authority:RUT,525,Kråkstad - Ski stasjon,,704,,76a300,ffffff
365,RUT:Line:515,RUT:Authority:RUT,515,Ryen - Siggerud - Ski,,704,,76a300,ffffff
366,RUT:Line:506,RUT:Authority:RUT,506,Klommestein - Drøbak - Frogn vgs,,704,,76a300,ffffff
367,RUT:Line:490,RUT:Authority:RUT,490,Trøgstad - Lillestrøm,,704,,76a300,ffffff
368,RUT:Line:479,RUT:Authority:RUT,479,Aurskog/Høland sør,,704,,76a300,ffffff
369,RUT:Line:524,RUT:Authority:RUT,524,Ås - Vinterbro - Ski stasjon,,704,,76a300,ffffff
370,RUT:Line:527,RUT:Authority:RUT,527,Skotbu - Ski stasjon,,704,,76a300,ffffff
371,RUT:Line:500,RUT:Authority:RUT,500,Drøbak - Oslo,,704,,76a300,ffffff
372,RUT:Line:485,RUT:Authority:RUT,485,Hemnes - Løken - Bjørkelangen,,704,,76a300,ffffff
373,RUT:Line:5260,RUT:Authority:RUT,260E,Bødalen - Slemmestad - Holmen - Sandvika- Ullevål,,702,,76a300,ffffff
374,RUT:Line:523,RUT:Authority:RUT,523,Kjærnes - Vinterbro - Ski stasjon,,704,,76a300,ffffff
375,RUT:Line:516,RUT:Authority:RUT,516,Siggerud - Vevelstad stasjon,,704,,76a300,ffffff
376,RUT:Line:507,RUT:Authority:RUT,507,Elle - Dyrløkke,,704,,76a300,ffffff
377,RUT:Line:4,RUT:Authority:RUT,4,Vestli - Bergkrystallen,,401,,ec700c,ffffff
378,RUT:Line:545,RUT:Authority:RUT,545,Son - Vestby stasjon,,704,,76a300,ffffff
379,RUT:Line:5405,RUT:Authority:RUT,540E,Store Brevik - Sonsveien stasjon,,704,,76a300,ffffff
380,RUT:Line:530,RUT:Authority:RUT,530,Pepperstad - Randem - Vestby stasjon,,704,,76a300,ffffff
381,RUT:Line:511,RUT:Authority:RUT,511,Sætreskogen - Ski stasjon,,704,,76a300,ffffff
382,RUT:Line:505,RUT:Authority:RUT,505,Drøbak - Oslo,,704,,76a300,ffffff
383,RUT:Line:48,RUT:Authority:RUT,48,Voksenkollen - Tryvann,,704,,e60000,ffffff
384,RUT:Line:540,RUT:Authority:RUT,540,Moss - Son - Vestby stasjon,,704,,76a300,ffffff
385,RUT:Line:531,RUT:Authority:RUT,531,Hvitsten - Vestby stasjon,,704,,76a300,ffffff
386,RUT:Line:570,RUT:Authority:RUT,570,Vinterbro - Nesoddtangen,,704,,76a300,ffffff
387,RUT:Line:56,RUT:Authority:RUT,56,Nydalen - Solemskogen,,704,,e60000,ffffff
388,RUT:Line:565,RUT:Authority:RUT,565,Myklerud - Nesoddtangen,,704,,76a300,ffffff
389,RUT:Line:561,RUT:Authority:RUT,561,Drøbak - Nesoddtangen,,704,,76a300,ffffff
390,RUT:Line:560,RUT:Authority:RUT,560,Blylaget - Nesoddtangen,,704,,76a300,ffffff
391,RUT:Line:551,RUT:Authority:RUT,551,Dalefjerdingen - Enebakk kirke,,704,,76a300,ffffff
392,RUT:Line:550,RUT:Authority:RUT,550,Enebakk - Oslo,,704,,76a300,ffffff
393,RUT:Line:54,RUT:Authority:RUT,54,Tjuvholmen - Kjelsås stasjon,,704,,e60000,ffffff
394,RUT:Line:63,RUT:Authority:RUT,63,Grorud T - Romsås ring,,704,,e60000,ffffff
395,RUT:Line:62,RUT:Authority:RUT,62,Grorud T - Ammerud ring,,704,,e60000,ffffff
396,RUT:Line:61,RUT:Authority:RUT,61A,Tveita T - Solfjellet,,704,,e60000,ffffff
397,RUT:Line:60,RUT:Authority:RUT,60,Vippetangen - Tonsenhagen,,704,,e60000,ffffff
398,RUT:Line:5,RUT:Authority:RUT,5,Sognsvann - Vestli,,401,,ec700c,ffffff
399,RUT:Line:58,RUT:Authority:RUT,58,Nydalen - Tveita T via Bjerke,,704,,e60000,ffffff
400,RUT:Line:576,RUT:Authority:RUT,576,Fagerstrand - Vinterbro,,704,,76a300,ffffff
401,RUT:Line:575,RUT:Authority:RUT,575,Drøbak - Fagerstrand - Nesoddtangen,,704,,76a300,ffffff
402,RUT:Line:71,RUT:Authority:RUT,71A,Jernbanetorget - Bjørndal,,704,,e60000,ffffff
403,RUT:Line:70,RUT:Authority:RUT,70,Nationaltheatret - Skullerud T,,704,,e60000,ffffff
404,RUT:Line:69,RUT:Authority:RUT,69,Tveita T - Lutvann,,704,,e60000,ffffff
405,RUT:Line:68,RUT:Authority:RUT,68,Helsfyr T - Grorud T via Alfaset,,704,,e60000,ffffff
406,RUT:Line:67,RUT:Authority:RUT,67,Økern T - Lørenskog sentrum,,704,,e60000,ffffff
407,RUT:Line:66,RUT:Authority:RUT,66,Helsfyr T - Grorud T,,704,,e60000,ffffff
408,RUT:Line:65,RUT:Authority:RUT,65,Furuset T - Stovner T via Smedstua,,704,,e60000,ffffff
409,RUT:Line:64,RUT:Authority:RUT,64A,Furuset T - Stovner T via Høybråten,,704,,e60000,ffffff
410,RUT:Line:80,RUT:Authority:RUT,80E,Jernbanetorget - Åsbråten,,702,,e60000,ffffff
411,RUT:Line:79,RUT:Authority:RUT,79,Grorud T - Åsbråten,,704,,e60000,ffffff
412,RUT:Line:78,RUT:Authority:RUT,78A,Østensjø ring,,704,,e60000,ffffff
413,RUT:Line:77,RUT:Authority:RUT,77,Holmlia stasjon - Bjørndal,,704,,e60000,ffffff
414,RUT:Line:76,RUT:Authority:RUT,76,Helsfyr T - Mortensrud T,,704,,e60000,ffffff
415,RUT:Line:75,RUT:Authority:RUT,75A,Nordstrand ring,,704,,e60000,ffffff
416,RUT:Line:74,RUT:Authority:RUT,74,Vika - Mortensrud T,,704,,e60000,ffffff
417,RUT:Line:73,RUT:Authority:RUT,73,Holmlia stasjon - Brenna,,704,,e60000,ffffff
418,RUT:Line:91,RUT:Authority:RUT,91,Jernbanetorget - Storo,,704,,e60000,ffffff
419,RUT:Line:87,RUT:Authority:RUT,87,Hauketo stasjon - Fugleåsen,,704,,e60000,ffffff
420,RUT:Line:86,RUT:Authority:RUT,86,Kolbotn - Svartskog,,704,,e60000,ffffff
421,RUT:Line:85,RUT:Authority:RUT,85,Jernbanetorget - Ulvøya,,704,,e60000,ffffff
422,RUT:Line:84,RUT:Authority:RUT,84E,Jernbanetorget - Myrvoll stasjon,,702,,e60000,ffffff
423,RUT:Line:83,RUT:Authority:RUT,83,Jernbanetorget - Tårnåsen,,704,,e60000,ffffff
424,RUT:Line:82,RUT:Authority:RUT,82E,Jernbanetorget - Tårnåsen,,702,,e60000,ffffff
425,RUT:Line:81,RUT:Authority:RUT,81,Fornebu - Fløysbonn,,704,,e60000,ffffff
